苗字,苗字（ふりがな）,人数,割合,名前（男）,名前（男）ふりがな,名前（女）,名前（女）ふりがな
佐藤,さとう,1842000,1842000,秋,あき,あい,あい
鈴木,すずき,1778000,3620000,アキト,あきと,愛,あい
高橋,たかはし,1392000,5012000,明宏,あきひろ,藍,あい
田中,たなか,1320000,6332000,昭博,あきひろ,藍華,あいか
伊藤,いとう,1060000,7392000,彬弘,あきひろ,あいり,あいり
渡辺,わたなべ,1050000,8442000,明博,あきひろ,愛莉,あいり
山本,やまもと,1036000,9478000,あきら,あきら,愛里,あり
中村,なかむら,1032000,10510000,アキラ,あきら,愛理,あいり
小林,こばやし,1016000,11526000,彰,あきら,あおい,あおい
加藤,かとう,878000,12404000,陽,あきら,葵,あおい
吉田,よしだ,818000,13222000,旭,あきら,蒼,あおい
山田,やまだ,804000,14026000,晃,あきら,青葉,あおば
佐々木,ささき,661000,14687000,昭,あきら,あかね,あかね
山口,やまぐち,635000,15322000,晶,あきら,茜,あかね
松本,まつもと,619000,15941000,章,あきら,朱音,あかね
井上,いのうえ,607000,16548000,朗,あきら,あかり,あかり
木村,きむら,568000,17116000,斐,あきら,朱里,じゅり
林,はやし,539000,17655000,輝,あきら,あき,あき
斎藤,さいとう,535000,18190000,飛鳥,あすか,明菜,あきな
清水,しみず,526000,18716000,梓,あずさ,晶,あきら
山崎,やまざき,476000,19192000,東,あずま,あけみ,あけみ
森,もり,460000,19652000,中,あたる,明美,あけみ
池田,いけだ,444000,20096000,惇,あつし,あこ,あこ
橋本,はしもと,442000,20538000,敦,あつし,アコ,あこ
阿部,あべ,435000,20973000,あまね,あまね,あさみ,あさみ
石川,いしかわ,422000,21395000,周,あまね,あざみ,あざみ
山下,やました,412000,21807000,歩,あゆむ,あすか,あすか
中島,なかじま,396000,22203000,新,あらた,あずき,あずき
石井,いしい,394000,22597000,伊織,いおり,あずさ,あずさ
小川,おがわ,392000,22989000,幾,いく,梓,あずさ
前田,まえだ,376000,23365000,イサム,いさむ,アスナ,あすな
岡田,おかだ,374000,23739000,至,いたる,明日菜,あすな
長谷川,はせがわ,372000,24111000,格,いたる,あつこ,あつこ
藤田,ふじた,368000,24479000,一松,いちまつ,あつ子,あつこ
後藤,ごとう,366000,24845000,いつき,いつき,敦子,あつこ
近藤,こんどう,365000,25210000,樹,いつき,敦美,あつみ
村上,むらかみ,349000,25559000,斎,いつき,あまね,あまね
遠藤,えんどう,328000,25887000,一輝,いっき,あみ,あみ
青木,あおき,325000,26212000,出,いずる,亜美,あみ
坂本,さかもと,321000,26533000,巌,いわお,あや,あや
斉藤,さいとう,318000,26851000,おさむ,おさむ,彩,あや
福田,ふくだ,308000,27159000,乱,らん,文,あや
太田,おおた,306000,27465000,修,おさむ,絢,あや
西村,にしむら,304000,27769000,治,おさむ,綾,あや
藤井,ふじい,303000,28072000,紀,おさむ,あやか,あやか
金子,かねこ,293000,28365000,納,おさむ,あやな,あやな
岡本,おかもと,292000,28657000,統,おさむ,綾音,あやね
藤原,ふじわら,291000,28948000,導,おさむ,あやの,あやの
中野,なかの,290000,29238000,温,あつし,綾乃,あやの
三浦,みうら,290000,29528000,海,うみ,綾野,あやの
原田,はらだ,286000,29814000,快,かい,あやめ,あやめ
中川,なかがわ,286000,30100000,薫,かおる,菖,しょう
松田,まつだ,284000,30384000,格,いたる,あゆ,あゆ
竹内,たけうち,282000,30666000,革,かく,あゆみ,あゆみ
小野,おの,275000,30941000,和興,かずおき,歩,ふ
田村,たむら,275000,31216000,和音,わおん,アリサ,ありさ
中山,なかやま,265000,31481000,鼎,かなえ,杏,あんず
和田,わだ,263000,31744000,完二,かんじ,杏子,あんず
石田,いしだ,262000,32006000,京,きょう,いおり,いおり
森田,もりた,257000,32263000,恭,きょう,伊織,いおり
上田,うえだ,243000,32506000,京介,きょうすけ,泉,いずみ
原,はらだ,242000,32748000,京助,きょうすけ,いちご,いちご
内田,うちだ,242000,32990000,恭介,きょうすけ,苺,いちご
柴田,しばた,239000,33229000,京也,きょうや,いづみ,いづみ
酒井,さかい,237000,33466000,きよし,きよし,憂,う
宮崎,みやざき,234000,33700000,清,きよし,初,はつ
横山,よこやま,233000,33933000,潔,きよし,潮,しお
高木,たかぎ,230000,34163000,キリト,きりと,卯月,うづき
安藤,あんどう,228000,34391000,究,きわむ,梅,うめ
宮本,みやもと,225000,34616000,吟,ぎん,恵美,えみ
大野,おおの,218000,34834000,邦,くに,絵理,えり
小島,こじま,214000,35048000,国生,くにお,カイ,かい
谷口,たにぐち,212000,35260000,汲,くみ,楓,かえで
今井,いまい,210000,35470000,兄,けい,香織,かおり
工藤,くどう,209000,35679000,圭,けい,薫,かおる
高田,たかだ,207000,35886000,敬,けい,香,こう
増田,ますだ,206000,36092000,健,けん,鏡,かがみ
丸山,まるやま,205000,36297000,元,げん,和音,わおん
杉山,すぎやま,204000,36501000,彦,げん,かずみ,かずみ
村田,むらた,203000,36704000,玄,げん,和美,かずみ
大塚,おおつか,203000,36907000,厳,げん,夏菜,なつさい
新井,あらい,202000,37109000,健介,けんすけ,奏,そう
小山,こやま,201000,37310000,けんと,けんと,花音,はるね
平野,ひらの,201000,37511000,玄人,げんと,かりん,かりん
藤本,ふじもと,199000,37710000,けんいち,けんいち,京子,きょうこ
河野,こうの,197000,37907000,健一,けんいち,杏子,あんず
上野,うえの,197000,38104000,健太,けんた,卿子,けいこ
野口,のぐち,197000,38301000,小糸,こいと,けい,けい
武田,たけだ,196000,38497000,甲,こう,京,きょう
松井,まつい,191000,38688000,行,こう,圭,けい
千葉,ちば,189000,38877000,耕,こう,桂,かつら
岩崎,いわさき,189000,39066000,興,こう,梢,こずえ
菅原,すがわら,188000,39254000,航,こう,暦,こよみ
木下,きのした,185000,39439000,號,ごう,ぐり子,ぐりこ
久保,くぼ,184000,39623000,康一,こういち,くれあ,くれあ
佐野,さの,183000,39806000,こうじ,こうじ,ここあ,ここあ
野村,のむら,183000,39989000,コウジ,こうじ,こと,こと
松尾,まつお,180000,40169000,暦,こよみ,ことり,ことり
市川,いちかわ,179000,40348000,五郎,ごろう,このみ,このみ
菊地,きくち,179000,40527000,宇,そら,小鳩,こばと
杉本,すぎもと,179000,40706000,栄,さかえ,さおり,さおり
古川,ふるかわ,174000,40880000,授,さずく,さき,さき
島田,しまだ,173000,41053000,貞夫,さだお,サキ,さき
大西,おおにし,173000,41226000,教,さとし,咲,さき
水野,みずの,172000,41398000,怜,さとし,さくら,さくら
桜井,さくらい,171000,41569000,聖,さとし,サクラ,さくら
高野,たかの,169000,41738000,聡,さとし,桜,さくら
吉川,よしかわ,168000,41906000,三郎,さぶろう,咲良,そら
渡部,わたなべ,168000,42074000,重信,しげのぶ,桜子,さくらこ
山内,やまうち,161000,42235000,しげる,しげる,櫻子,さくらこ
飯田,いいだ,160000,42395000,シゲル,しげる,ささら,ささら
西田,にしだ,160000,42555000,卯,しげる,さちこ,さちこ
菊池,きくち,158000,42713000,茂,しげる,幸子,ゆきこ
西川,にしかわ,158000,42871000,静,しずか,沙耶,さや
小松,こまつ,157000,43028000,七郎,しちろう,さやか,さやか
北村,きたむら,156000,43184000,忍,しのぶ,小百合,さゆり
安田,やすだ,155000,43339000,修治,しゅうじ,汐,しお
五十嵐,いがらし,154000,43493000,十三,じゅうぞう,しおり,しおり
川口,かわぐち,153000,43646000,秀太,ひでたか,栞,しおり
関,せき,152000,43798000,周平,しゅうへい,詩織,しおり
平田,ひらた,152000,43950000,ジュン,じゅん,栞子,しおりこ
中田,なかた,150000,44100000,准,じゅん,静,せい
久保田,くぼた,150000,44250000,隼,はやぶさ,静流,しずる
服部,はっとり,149000,44399000,準,じゅん,しの,しの
東,あずま,148000,44547000,順,じゅん,シノ,しの
岩田,いわた,148000,44695000,純一,じゅんいつ,忍,にん
土屋,つちや,148000,44843000,俊介,しゅんすけ,ジュン,じゅん
川崎,かわさき,147000,44990000,駿太,しゅんた,翔子,しょうこ
福島,ふくしま,147000,45137000,じゅんぺい,じゅんぺい,心,こころ
本田,ほんだ,146000,45283000,唱,とのお,蘇芳,すおう
辻,つじ,146000,45429000,祥,さち,鈴,すず
樋口,ひぐち,145000,45574000,翔,ゆき,すずこ,すずこ
秋山,あきやま,144000,45718000,奨,すすむ,すみれ,すみれ
永井,ながい,144000,45862000,二郎,じろう,スミレ,すみれ
田口,たぐち,144000,46006000,信,しん,菫,すみれ
山中,やまなか,143000,46149000,晋,すすむ,関子,せきこ
中西,なかにし,143000,46292000,仁,ひとし,節子,せつこ
吉村,よしむら,142000,46434000,甚,じんじ,玉,たま
川上,かわかみ,142000,46576000,伸治,しんじ,千明,ちあき
石原,いしはら,140000,46716000,しんたろう,しんたろう,ちか,ちか
大橋,おおはし,140000,46856000,しんのすけ,しんのすけ,ちこ,ちこ
松岡,まつおか,139000,46995000,甚平,じんべい,千鶴,ちづる
馬場,ばば,139000,47134000,末吉,すえよし,千歳,ちとせ
浜田,はまだ,138000,47272000,清白,すずしろ,ちなつ,ちなつ
森本,もりもと,136000,47408000,進,すすむ,千早,ちはや
星野,ほしの,136000,47544000,則,のり,ちよこ,ちよこ
浅野,あさの,136000,47680000,スバル,すばる,つかさ,つかさ
矢野,やの,136000,47816000,昴,すばる,司,つかさ
大久保,おおくぼ,135000,47951000,整,せい,椿,つばき
松下,まつした,135000,48086000,雪城,ゆきしろ,つゆり,つゆり
小池,こいけ,134000,48220000,聡太郎,としたろう,輝美,てるみ
吉岡,よしおか,134000,48354000,大,だい,とうこ,とうこ
野田,のだ,132000,48486000,大五郎,だいごろう,トオル,とおる
荒木,あらき,130000,48616000,大輔,だいすけ,とき,とき
大谷,おおたに,129000,48745000,平,たいら,時子,ときこ
内藤,ないとう,129000,48874000,たかし,たかし,ともえ,ともえ
松浦,まつうら,129000,49003000,タカシ,たかし,巴,ともえ
熊谷,くまがや,129000,49132000,尚,なお,ともこ,ともこ
黒田,くろだ,126000,49258000,尊,みこと,とも子,ともこ
尾崎,おざき,125000,49383000,昂,のぼる,知子,ともこ
永田,ながた,123000,49506000,隆,たかし,友美,ゆみ
望月,もちづき,123000,49629000,隆史,たかし,ナオ,なお
川村,かわむら,123000,49752000,高,こう,渚,なぎさ
田辺,たなべ,123000,49875000,高久,たかく,なずな,なずな
荒井,あらい,123000,49998000,隆元,りゅうげん,那智,なち
松村,まつむら,123000,50121000,匠,たくみ,夏希,なつのぞみ
堀,ほり,122000,50243000,たけし,たけし,夏美,なつみ
大島,おおしま,122000,50365000,武,たけ,なな,なな
早川,はやかわ,122000,50487000,佑,たすく,奈々,なな
平井,ひらい,122000,50609000,匡,ただし,ななこ,ななこ
栗原,くりはら,122000,50731000,ただし,ただし,菜々子,ななこ
菅野,すがの,121000,50852000,是,ぜ,七瀬,ななせ
西山,にしやま,121000,50973000,正,ただし,なの,なの
広瀬,ひろせ,120000,51093000,達夫,たつお,なゆ,なゆ
横田,よこた,117000,51210000,辰雄,たつお,鳴,めい
石橋,いしばし,117000,51327000,たつき,たつき,寧々,やすし々
萩原,はぎわら,116000,51443000,達也,たつや,のえる,のえる
岩本,いわもと,115000,51558000,保,ほ,ノエル,のえる
片山,かたやま,115000,51673000,巽,たつみ,のぞみ,のぞみ
関口,せきぐち,114000,51787000,太郎,たろう,希,まれ
宮田,みやた,113000,51900000,長七郎,ちょうしちろう,和,わ
大石,おおいし,112000,52012000,つかさ,つかさ,紀,きの
高山,たかやま,111000,52123000,司,つかさ,のん,のん
吉野,よしの,110000,52233000,常,つね,花,はな
本間,ほんま,110000,52343000,彝,つね,ハル,はる
須藤,すどう,110000,52453000,翼,つばさ,晴,はれ
岡崎,おかざき,109000,52562000,烈,れつ,春江,はるえ
小田,おだ,109000,52671000,禎,ただし,はるか,はるか
伊東,いとう,109000,52780000,哲也,てつや,遥,はるか
鎌田,かまだ,108000,52888000,照,あきら,春香,はるか
上原,うえはら,108000,52996000,輝美,てるみ,柊,ひいらぎ
篠原,しのはら,107000,53103000,伝,つて,光,ひかり
小西,こにし,106000,53209000,田,た,ひかる,ひかる
松原,まつばら,106000,53315000,冬馬,とうま,ヒカル,ひかる
福井,ふくい,106000,53421000,トオル,とおる,仁美,ひとみ
古賀,こが,106000,53527000,通,つう,ひな,ひな
小泉,こいずみ,105000,53632000,達,いたる,雛,ひな
大森,おおもり,105000,53737000,ともお,ともお,響,ひびき
成田,なりた,104000,53841000,寅,とら,一二三,いちにさん
南,みなみ,104000,53945000,直樹,なおき,ヒマワリ,ひまわり
奥村,おくむら,104000,54049000,直次郎,なおじろう,ひより,ひより
内山,うちやま,104000,54153000,直政,なおまさ,風子,ふうこ
川島,かわしま,103000,54256000,流,りゅう,二三,にさん
沢田,さわだ,103000,54359000,渚,なぎさ,ほのか,ほのか
桑原,くわはら,103000,54462000,那智,なち,ほむら,ほむら
三宅,みやけ,102000,54564000,のえる,のえる,まい,まい
片岡,かたおか,102000,54666000,ノエル,のえる,マイ,まい
杉浦,すぎうら,102000,54768000,望,もち,舞,まい
富田,とみた,102000,54870000,昇,のぼり,麻衣,まい
岡,おか,101000,54971000,黎,はじむ,まいこ,まいこ
八木,やぎ,101000,55072000,一,いち,舞子,まいこ
奥田,おくだ,101000,55173000,丕,はじめ,まこ,まこ
小沢,おざわ,101000,55274000,創,そう,まこと,まこと
松永,まつなが,100000,55374000,甫,はじめ,真,しん
北川,きたがわ,100000,55474000,萌,もえ,まさみ,まさみ
関根,せきね,99800,55573800,初,はつ,雅美,まさみ
河合,かわい,99500,55673300,果,はて,まどか,まどか
平山,ひらやま,99400,55772700,八郎,はちろう,円,えん
牧野,まきの,99000,55871700,駿,しゅん,まな,まな
白石,しらいし,98100,55969800,速,はや,まなみ,まなみ
今村,いまむら,96800,56066600,逸,いっ,まほろ,まほろ
寺田,てらだ,96700,56163300,ハルヒコ,はるひこ,まみ,まみ
青山,あおやま,96300,56259600,ひかる,ひかる,真美,まみ
中尾,なかお,95000,56354600,光,ひかり,麻耶,まや
小倉,おぐら,94900,56449500,彦左衛門,ひこざえもん,真弓,まゆみ
渋谷,しぶや,94500,56544000,ひさし,ひさし,マリ,まり
上村,うえむら,94000,56638000,久,ひさ,真理,しんり
小野寺,おのでら,93700,56731700,永,えい,まりあ,まりあ
大山,おおやま,93600,56825300,密,みつ,マリア,まりあ
足立,あだち,93200,56918500,斉,ひとし,まりな,まりな
岡村,おかむら,93100,57011600,響,ひびき,まりも,まりも
坂口,さかぐち,92900,57104500,一二三,いちにさん,まりや,まりや
天野,あまの,92700,57197200,ヒロ,ひろ,美雨,みう
多田,ただ,92100,57289300,ひろし,ひろし,みうら,みうら
佐久間,さくま,91600,57380900,博,ひろし,みお,みお
根本,ねもと,91400,57472300,広,ひろ,澪,みお
豊田,とよた,90700,57563000,洋,よう,みか,みか
田島,たじま,90400,57653400,昊,ひろし,ミカ,みか
飯塚,いいづか,90300,57743700,浩,ひろし,美影,よしえ
角田,すみだ,90100,57833800,拡,ひろむ,みき,みき
村山,むらやま,90000,57923800,風太,ふうた,ミキ,みき
武藤,むとう,89400,58013200,文吾,ぶんご,美希,みき
白井,しらい,89200,58102400,平八郎,へいはちろう,みく,みく
西,にし,89100,58191500,弁慶,べんけい,三玖,さん玖
竹田,たけだ,88700,58280200,北斗,ほくと,みくる,みくる
宮下,みやした,88600,58368800,穂積,ほづみ,みこ,みこ
榎本,えのもと,88500,58457300,まこと,まこと,美心,みしん
塚本,つかもと,88500,58545800,誠,まこと,美琴,みこと
神谷,かみや,88100,58633900,真,しん,みさ,みさ
坂田,さかた,87900,58721800,誠人,まさと,みさえ,みさえ
水谷,みずたに,87600,58809400,まさお,まさお,みさお,みさお
児玉,こだま,87600,58897000,正樹,まさき,操,みさお
坂井,さかい,87300,58984300,まさし,まさし,美咲,みさき
齋藤,さいとう,86200,59070500,政,せい,みずき,みずき
浅井,あさい,85200,59155700,昌,あきら,みすず,みすず
小原,こはら,85100,59240800,真人,まさと,美鈴,みすず
岡部,おかべ,85000,59325800,正宗,まさむね,みずほ,みずほ
森下,もりした,84600,59410400,まさる,まさる,みつき,みつき
神田,かんだ,84500,59494900,優,ゆう,みつこ,みつこ
小笠原,おがさわら,84400,59579300,勝,かち,みどり,みどり
中井,なかい,84300,59663600,将,はた,翠,みどり
植田,うえだ,84300,59747900,学,がく,緑,みどり
河村,かわむら,83300,59831200,まひろ,まひろ,碧,へき
宮川,みやがわ,83100,59914300,護,まもる,みな,みな
稲垣,いながき,83100,59997400,麻呂,まろ,美凪,みなぎ
前川,まえかわ,82800,60080200,万太郎,まんたろう,美那子,みなこ
大川,おおかわ,82300,60162500,操,みさお,みなみ,みなみ
松崎,まつざき,81000,60243500,みつお,みつお,南,みなみ
長田,ながた,80900,60324400,満,みつる,みなも,みなも
若林,わかばやし,80800,60405200,農,のう,美穂,みほ
飯島,いいじま,80800,60486000,みのる,みのる,美星,びせい
谷,たにぐち,79600,60565600,実,み,美也,みや
大沢,おおさわ,79400,60645000,穣,みのる,みやこ,みやこ
石塚,いしづか,79300,60724300,黙,もく,都子,くにこ
安部,あべ,78700,60803000,求,もとむ,みやび,みやび
堀内,ほりうち,78100,60881100,寧,やすし,雅,みやび
及川,おいかわ,77800,60958900,泰,やすし,みわ,みわ
田代,たしろ,77600,61036500,休,きゅう,芽衣,めい
中嶋,なかじま,77200,61113700,保志,ほし,めぐ,めぐ
江口,えぐち,77100,61190800,唯,ただ,メグ,めぐ
山根,やまね,76600,61267400,ゆう,ゆう,めぐみ,めぐみ
中谷,なかたに,76500,61343900,ユウ,ゆう,椛,もみじ
岸本,きしもと,76000,61419900,勇,いさむ,萌,もえ
荒川,あらかわ,75900,61495800,遊,ゆとり,桃,もも
本多,ほんだ,75800,61571600,悠,ゆう,桃華,ももか
西尾,にしお,75500,61647100,有,ゆう,ももこ,ももこ
森山,もりやま,75100,61722200,由,ゆかり,桃子,ももこ
岡野,おかの,74900,61797100,祐,ゆう,やよい,やよい
金井,かねい,74800,61871900,悠一,ゆういち,弥生,やよい
細川,ほそかわ,74600,61946500,ゆうき,ゆうき,ゆい,ゆい
今野,いまの,74400,62020900,有吉,ありよし,唯,ただ
戸田,とだ,74000,62094900,ゆうさく,ゆうさく,結衣,ゆい
稲葉,いなば,74000,62168900,祐介,ゆうすけ,ゆう,ゆう
安達,あだち,73700,62242600,雄介,ゆうすけ,ユウ,ゆう
津田,つだ,73700,62316300,ゆうと,ゆうと,夕,ゆう
森川,もりかわ,73500,62389800,ゆうや,ゆうや,悠,ゆう
落合,おちあい,73400,62463200,雪男,ゆきおとこ,優,ゆう
土井,どい,73300,62536500,ゆたか,ゆたか,結,ゆい
村松,むらまつ,73100,62609600,豊,ゆたか,邑,ゆうじ
星,ほし,72900,62682500,裕,ひろし,ゆうき,ゆうき
町田,まちだ,72700,62755200,ヨシ,よし,ゆうこ,ゆうこ
三上,みかみ,72000,62827200,力,ちから,ゆう子,ゆうこ
畠山,はたけやま,71900,62899100,陸,りく,祐子,ゆうこ
岩井,いわい,71400,62970500,竜,りゅう,優子,ゆうこ
長尾,ながお,70900,63041400,隆太,りゅうた,ゆうな,ゆうな
堤,つつみ,70800,63112200,竜太郎,りゅうたろう,ゆうり,ゆうり
中原,なかはら,70800,63183000,龍太郎,りゅうたろう,ゆかり,ゆかり
野崎,のざき,69500,63252500,りょう,りょう,雪,ゆき
中沢,なかざわ,68800,63321300,了,りょう,ゆたか,ゆたか
金田,かねだ,68800,63390100,亮,あきら,ゆの,ゆの
米田,よねだ,68400,63458500,涼,りょう,ゆり,ゆり
松山,まつやま,68200,63526700,良,りょう,ユリ,ゆり
杉田,すぎた,68100,63594800,尞,尞,由利,ゆり
堀田,ほった,68000,63662800,亮太,りょうた,百合,ひゃくごう
西野,にしの,67600,63730400,凛,りん,百合子,ゆりこ
三好,みよし,67500,63797900,燐,りん,ヨーコ,よーこ
山岸,やまぎし,67200,63865100,レイ,れい,よしこ,よしこ
佐伯,さえき,67100,63932200,礼,れい,よし子,よしこ
黒川,くろかわ,66000,63998200,礼二,れいじ,美子,よしこ
西岡,にしおか,65900,64064100,烈,れつ,よしの,よしの
大竹,おおたけ,65200,64129300,蓮,はちす,りえ,りえ
泉,いずみ,65200,64194500,六郎,ろくろう,理恵,りえ
甲斐,かい,64800,64259300,亘,わたる,リカ,りか
大木,おおき,64400,64323700,済,すみ,リコ,りこ
笠原,かさはら,64400,64388100,渉,わたる,りさ,りさ
堀江,ほりえ,64100,64452200,,,律,りつ
岸,きし,64000,64516200,,,律子,りつこ
川田,かわた,63900,64580100,,,リナ,りな
徳永,とくなが,63800,64643900,,,涼,りょう
須田,すだ,63800,64707700,,,リン,りん
黒木,くろき,63600,64771300,,,凜,りん
山川,やまかわ,63500,64834800,,,凛,りん
古田,ふるた,63100,64897900,,,燐,りん
榊原,さかきばら,63000,64960900,,,ルイ,るい
梅田,うめだ,63000,65023900,,,瑠衣,るい
新田,にった,62700,65086600,,,レイ,れい
三木,みき,62700,65149300,,,怜,れい
野中,のなか,62600,65211900,,,レイラ,れいら
大城,おおしろ,62000,65273900,,,れおん,れおん
村井,むらい,61600,65335500,,,レナ,れな
金城,かねしろ,61600,65397100,,,蓮,はちす
奥山,おくやま,61300,65458400,,,蓮子,はすこ
土田,つちだ,61000,65519400,,,渉,わたる
滝沢,たきざわ,60600,65580000,,,,
大村,おおむら,60500,65640500,,,,
川端,かわばた,59900,65700400,,,,
井口,いぐち,59400,65759800,,,,
梶原,かじわら,59100,65818900,,,,
大場,おおば,58700,65877600,,,,
宮城,みやぎ,58400,65936000,,,,
比嘉,ひが,57600,65993600,,,,
長島,ながしま,57500,66051100,,,,
吉原,よしはら,57300,66108400,,,,
宮内,みやうち,57100,66165500,,,,
金沢,かなざわ,56900,66222400,,,,
安井,やすい,56700,66279100,,,,
庄司,しょうじ,56200,66335300,,,,
大内,おおうち,56100,66391400,,,,
茂木,しげき,55900,66447300,,,,
荻野,おぎの,55600,66502900,,,,
日高,ひだか,55400,66558300,,,,
松島,まつしま,55400,66613700,,,,
向井,むかい,55300,66669000,,,,
下田,しもだ,55300,66724300,,,,
塚田,つかだ,55200,66779500,,,,
石黒,いしぐろ,55100,66834600,,,,
西本,にしもと,55000,66889600,,,,
奥野,おくの,54900,66944500,,,,
竹中,たけなか,54800,66999300,,,,
広田,ひろた,54700,67054000,,,,
嶋田,しまだ,54600,67108600,,,,
栗田,くりた,54400,67163000,,,,
藤川,ふじかわ,54400,67217400,,,,
福本,ふくもと,54400,67271800,,,,
北野,きたの,54100,67325900,,,,
藤野,ふじの,53900,67379800,,,,
宇野,うの,53900,67433700,,,,
川原,かわはら,53800,67487500,,,,
丹羽,にわ,53700,67541200,,,,
谷川,たにがわ,53700,67594900,,,,
小谷,こたに,53600,67648500,,,,
青柳,あおやぎ,53200,67701700,,,,
吉本,よしもと,53200,67754900,,,,
藤岡,ふじおか,53100,67808000,,,,
竹下,たけした,53100,67861100,,,,
竹本,たけもと,53100,67914200,,,,
古谷,ふるや,52900,67967100,,,,
緒方,おがた,52900,68020000,,,,
藤村,ふじむら,52500,68072500,,,,
平川,ひらかわ,52500,68125000,,,,
亀井,かめい,52400,68177400,,,,
高島,たかしま,52300,68229700,,,,
三輪,みわ,52300,68282000,,,,
篠崎,しのざき,51800,68333800,,,,
藤沢,ふじさわ,51700,68385500,,,,
窪田,くぼた,51400,68436900,,,,
宮原,みやはら,51200,68488100,,,,
根岸,ねぎし,50900,68539000,,,,
高井,たかい,50800,68589800,,,,
下村,しもむら,50500,68640300,,,,
高瀬,たかせ,50500,68690800,,,,
山村,やまむら,50200,68741000,,,,
川本,かわもと,50100,68791100,,,,
柳沢,やなぎさわ,50000,68841100,,,,
小澤,おざわ,49900,68891000,,,,
横井,よこい,49900,68940900,,,,
吉沢,よしざわ,49700,68990600,,,,
出口,でぐち,49700,69040300,,,,
武井,たけい,49700,69090000,,,,
小森,こもり,49500,69139500,,,,
竹村,たけむら,49100,69188600,,,,
長野,ながの,49000,69237600,,,,
宮沢,みやざわ,48500,69286100,,,,
志村,しむら,48400,69334500,,,,
平松,ひらまつ,48200,69382700,,,,
臼井,うすい,48000,69430700,,,,
福岡,ふくおか,47900,69478600,,,,
黒沢,くろさわ,47900,69526500,,,,
溝口,みぞぐち,47700,69574200,,,,
田原,たはら,47500,69621700,,,,
稲田,いなだ,47400,69669100,,,,
浅田,あさだ,47100,69716200,,,,
筒井,つつい,46800,69763000,,,,
柳田,やなぎだ,46800,69809800,,,,
奧村,おくむら,46800,69856600,,,,
永野,ながの,46700,69903300,,,,
大原,おおはら,46700,69950000,,,,
冨田,とみだ,46500,69996500,,,,
林田,はやしだ,46500,70043000,,,,
瀬戸,せと,46400,70089400,,,,
大平,おおひら,46400,70135800,,,,
手塚,てづか,46200,70182000,,,,
入江,いりえ,46200,70228200,,,,
篠田,しのだ,46100,70274300,,,,
福永,ふくなが,46000,70320300,,,,
北原,きたはら,46000,70366300,,,,
富永,とみなが,45800,70412100,,,,
矢島,やじま,45700,70457800,,,,
小出,こいで,45700,70503500,,,,
湯浅,ゆあさ,45600,70549100,,,,
鶴田,つるた,45600,70594700,,,,
沼田,ぬまた,45400,70640100,,,,
高松,たかまつ,45200,70685300,,,,
堀口,ほりぐち,45200,70730500,,,,
長岡,ながおか,45200,70775700,,,,
岩瀬,いわせ,45000,70820700,,,,
山岡,やまおか,44900,70865600,,,,
大田,おおた,44700,70910300,,,,
石崎,いしざき,44400,70954700,,,,
澤田,さわだ,44400,70999100,,,,
大槻,おおつき,44300,71043400,,,,
石山,いしやま,44200,71087600,,,,
池上,いけがみ,43900,71131500,,,,
堀川,ほりかわ,43600,71175100,,,,
二宮,にのみや,43600,71218700,,,,
相馬,そうま,43500,71262200,,,,
園田,そのだ,43400,71305600,,,,
柏木,かしわぎ,43400,71349000,,,,
島崎,しまざき,43400,71392400,,,,
奧田,おくだ,43300,71435700,,,,
平岡,ひらおか,43300,71479000,,,,
花田,はなだ,43100,71522100,,,,
杉原,すぎはら,42800,71564900,,,,
加納,かのう,42700,71607600,,,,
村瀬,むらせ,42600,71650200,,,,
川野,かわの,42600,71692800,,,,
内海,うつみ,42400,71735200,,,,
片桐,かたぎり,42400,71777600,,,,
長沢,ながさわ,42300,71819900,,,,
倉田,くらた,42300,71862200,,,,
野沢,のざわ,42200,71904400,,,,
河原,かわはら,42100,71946500,,,,
福原,ふくはら,42100,71988600,,,,
秋元,あきもと,42000,72030600,,,,
越智,おち,41900,72072500,,,,
西原,にしはら,41800,72114300,,,,
松野,まつの,41800,72156100,,,,
笠井,かさい,41700,72197800,,,,
小坂,こさか,41200,72239000,,,,
田畑,たばた,41100,72280100,,,,
北島,きたじま,40800,72320900,,,,
渡邊,わたなべ,40800,72361700,,,,
日野,ひの,40800,72402500,,,,
谷本,たにもと,40700,72443200,,,,
千田,せんだ,40600,72483800,,,,
吉井,よしい,40600,72524400,,,,
深沢,ふかざわ,40400,72564800,,,,
西沢,にしざわ,40300,72605100,,,,
相沢,あいざわ,40300,72645400,,,,
徳田,とくだ,40100,72685500,,,,
原口,はらぐち,39900,72725400,,,,
小柳,おごう,39700,72765100,,,,
米山,よねやま,39700,72804800,,,,
細谷,ほそたに,39600,72844400,,,,
新谷,しんたに,39600,72884000,,,,
田上,たがみ,39600,72923600,,,,
今泉,いまいずみ,39500,72963100,,,,
菅,すが,39400,73002500,,,,
浜野,はまの,39300,73041800,,,,
森岡,もりおか,39100,73080900,,,,
畑中,はたなか,39000,73119900,,,,
小嶋,こじま,38900,73158800,,,,
磯部,いそべ,38700,73197500,,,,
大井,おおい,38700,73236200,,,,
秋田,あきた,38700,73274900,,,,
芳賀,はが,38600,73313500,,,,
浅見,あさみ,38600,73352100,,,,
相原,あいはら,38200,73390300,,,,
坪井,つぼい,38100,73428400,,,,
